Team,Conf,W,AdjO,AdjD,AdjT,Luck,OppO,OppD,Year
Tennessee,SEC,18,108.9,87.8,67.3,-0.007,108.4,95.9,2021
Kansas,B12,20,109.7,88.6,68.3,0.042,110.1,95.4,2021
Texas Tech,B12,17,112.4,91.5,65.4,-0.091,108.0,96.7,2021
St. Bonaventure,A10,16,111.5,90.5,65.2,0.014,106.0,97.5,2021
BYU,WCC,20,113.1,92.2,68.0,0.045,107.9,97.7,2021
Texas,B12,19,113.9,93.3,69.2,0.017,109.0,95.0,2021
West Virginia,B12,18,116.2,95.8,69.6,-0.04,109.4,94.4,2021
North Carolina,ACC,18,110.2,90.1,71.8,-0.017,110.8,96.6,2021
LSU,SEC,18,119.9,100.2,70.7,0.002,107.9,94.3,2021
Oklahoma St.,B12,20,110.1,91.3,71.9,0.039,110.7,96.0,2021
Maryland,B10,16,111.0,92.3,65.3,-0.035,110.2,93.1,2021
Georgia Tech,ACC,17,113.4,94.8,67.8,-0.005,108.8,96.5,2021
Rutgers,B10,15,108.7,90.6,67.8,0.032,112.5,94.3,2021
Florida,SEC,14,111.1,93.4,68.6,0.003,109.8,95.1,2021
Oregon,P12,20,114.5,96.8,67.2,0.048,107.7,97.7,2021
Oklahoma,B12,15,111.5,94.8,67.7,-0.038,108.2,95.8,2021
Utah St.,MWC,20,105.8,89.3,68.9,-0.032,104.9,99.8,2021
Syracuse,ACC,16,113.9,97.7,69.2,0.017,108.6,96.9,2021
Clemson,ACC,16,106.9,90.8,64.2,0.123,109.6,95.4,2021
VCU,A10,19,105.6,89.6,69.8,0.035,106.7,97.6,2021
UCLA,P12,17,113.5,97.6,64.7,0.024,108.6,96.8,2021
Virginia Tech,ACC,15,110.1,94.9,66.1,0.066,107.6,98.3,2021
Missouri,SEC,16,110.3,95.1,68.7,0.088,109.9,94.8,2021
Drake,MVC,25,114.0,99.4,66.8,0.095,102.9,100.8,2021
Georgetown,BE,13,107.8,93.7,69.6,0.001,110.3,95.9,2021
UC Santa Barbara,BW,22,109.3,97.1,66.1,0.054,101.4,102.0,2021
North Texas,CUSA,17,105.4,93.7,63.1,-0.042,103.5,99.2,2021
Ohio,MAC,16,112.9,102.1,69.3,0.027,105.2,101.3,2021
Colgate,Pat,14,111.0,100.7,72.4,0.05,99.2,105.8,2021
Oregon St.,P12,17,109.4,99.2,65.4,0.075,108.6,97.5,2021
Abilene Christian,Slnd,23,103.1,93.0,69.9,-0.027,97.7,105.8,2021
Winthrop,BSth,23,105.2,96.2,73.6,0.032,98.9,105.3,2021
Liberty,ASun,23,110.2,101.8,63.1,-0.013,98.6,105.2,2021
UNC Greensboro,SC,21,104.2,96.0,68.5,0.005,103.3,102.5,2021
Grand Canyon,WAC,17,103.7,96.7,65.4,-0.061,100.3,104.3,2021
Eastern Washington,BSky,16,107.7,101.1,72.3,-0.081,100.6,103.9,2021
Morehead St.,OVC,23,100.3,96.3,65.6,0.152,101.5,103.4,2021
Drexel,CAA,12,107.2,105.6,64.2,-0.043,100.5,103.8,2021
Cleveland St.,Horz,19,100.8,99.6,66.3,0.19,105.0,106.2,2021
Oral Roberts,Sum,16,108.7,107.5,71.8,0.013,102.9,102.9,2021
Iona,MAAC,12,100.4,101.5,68.3,0.038,97.4,104.5,2021
Hartford,AE,15,97.6,100.3,66.7,0.078,98.2,104.5,2021
Norfolk St.,MEAC,16,100.7,104.4,67.7,0.031,97.0,105.3,2021
Texas Southern,SWAC,16,99.0,105.1,72.0,0.055,94.1,104.3,2021
Gonzaga,WCC,26,121.8,88.8,72.5,-0.038,104.5,100.8,2022
Arizona,P12,31,119.6,92.4,72.2,0.046,106.0,99.7,2022
Kentucky,SEC,26,120.2,93.6,67.3,-0.032,106.9,97.9,2022
Houston,Amer,29,117.3,90.9,63.8,-0.007,104.6,100.3,2022
Baylor,B12,26,117.9,91.6,67.2,0.019,107.4,96.7,2022
Kansas,B12,28,119.4,93.9,69.1,0.035,107.6,95.6,2022
Tennessee,SEC,26,111.4,86.2,67.2,0.044,108.7,97.0,2022
UCLA,P12,25,116.1,91.2,65.5,-0.028,107.5,99.0,2022
Texas Tech,B12,25,109.7,85.1,66.5,-0.025,107.5,97.2,2022
Auburn,SEC,27,113.6,89.1,70.0,-0.039,107.2,98.5,2022
Villanova,BE,26,118.0,93.8,62.6,0.051,108.6,97.8,2022
Duke,ACC,28,119.4,95.7,67.4,-0.011,107.4,101.2,2022
Iowa,B10,26,121.5,98.0,69.6,-0.05,107.6,100.0,2022
Purdue,B10,27,121.3,99.0,65.8,0.035,108.8,99.8,2022
Texas,B12,21,111.8,91.4,63.1,-0.044,107.1,97.6,2022
Saint Mary's,WCC,25,109.8,90.0,63.5,0.037,107.2,100.3,2022
Illinois,B10,22,113.7,94.1,67.1,0.025,109.1,98.9,2022
Connecticut,BE,23,113.9,94.6,64.9,-0.03,106.0,98.4,2022
LSU,SEC,22,107.6,88.6,68.6,-0.041,107.7,98.6,2022
Arkansas,SEC,25,111.1,92.1,70.6,0.027,106.8,98.9,2022
San Francisco,WCC,24,110.8,92.4,68.7,-0.029,105.8,100.2,2022
San Diego St.,MWC,23,104.1,85.9,65.3,0.013,106.2,99.5,2022
Virginia Tech,ACC,23,114.3,96.4,62.9,-0.054,107.0,100.5,2022
Loyola Chicago,MVC,25,110.9,93.2,64.6,0.016,104.6,101.3,2022
Alabama,SEC,19,116.1,98.7,71.7,-0.022,109.7,96.9,2022
Boise St.,MWC,27,108.5,92.1,64.6,0.027,105.2,99.2,2022
Murray St.,OVC,30,111.5,95.1,65.8,0.075,101.2,104.9,2022
Memphis,Amer,21,110.4,94.1,70.3,-0.018,106.4,99.6,2022
North Carolina,ACC,24,113.1,97.0,70.1,0.079,107.8,100.6,2022
Colorado St.,MWC,25,114.2,98.3,65.1,0.13,105.3,99.6,2022
Ohio St.,B10,19,116.6,100.8,65.0,-0.015,108.4,98.9,2022
Michigan,B10,17,114.2,98.6,66.3,-0.026,110.0,98.2,2022
Wisconsin,B10,24,110.4,94.8,66.5,0.119,109.0,98.9,2022
Seton Hall,BE,21,108.5,93.5,67.3,0.011,107.7,98.9,2022
Indiana,B10,20,107.6,92.6,67.0,-0.044,108.5,100.2,2022
TCU,B12,20,108.2,93.3,65.9,0.034,107.7,96.9,2022
Michigan St.,B10,22,111.3,96.4,67.5,0.05,109.4,98.7,2022
Davidson,A10,27,116.8,102.0,64.6,-0.004,102.6,101.2,2022
USC,P12,26,110.5,96.0,66.0,0.077,104.9,99.7,2022
UAB,CUSA,27,112.5,98.5,68.8,-0.04,101.9,103.1,2022
Marquette,BE,19,109.8,95.8,70.7,-0.0,107.4,98.2,2022
Iowa St.,B12,20,104.4,90.4,66.1,0.038,107.7,97.5,2022
Providence,BE,25,111.9,98.0,65.2,0.194,106.1,99.1,2022
Notre Dame,ACC,22,112.0,98.4,65.7,0.016,106.6,100.4,2022
Creighton,BE,22,105.6,92.1,66.9,0.09,107.7,99.0,2022
Vermont,AE,28,110.8,97.7,65.0,-0.015,99.1,106.6,2022
Miami FL,ACC,23,114.8,102.1,67.3,0.069,106.8,100.2,2022
South Dakota St.,Sum,30,116.8,105.3,69.4,0.061,103.3,107.2,2022
Chattanooga,SC,27,110.0,98.8,64.6,0.024,105.1,104.9,2022
New Mexico St.,WAC,26,107.8,97.7,66.2,0.099,102.3,101.6,2022
Richmond,A10,23,109.1,99.3,66.9,0.029,105.0,100.6,2022
Saint Peter's,MAAC,19,98.8,94.5,66.0,-0.016,101.3,104.1,2022
Colgate,Pat,23,108.3,104.1,67.3,-0.07,99.2,107.2,2022
Montana St.,BSky,27,104.5,100.7,67.3,0.031,101.9,108.1,2022
Akron,MAC,24,106.2,102.7,62.1,0.026,100.8,106.0,2022
Longwood,BSth,26,106.1,103.6,66.0,0.095,98.4,106.7,2022
Delaware,CAA,22,106.8,104.6,66.6,0.023,101.8,104.4,2022
Jacksonville St.,ASun,21,105.3,103.1,65.1,-0.021,100.6,105.8,2022
Yale,Ivy,19,101.5,99.2,68.7,0.061,102.9,105.0,2022
Cal St. Fullerton,BW,21,104.7,102.6,66.0,0.038,100.5,103.5,2022
Georgia St.,SB,18,101.5,99.7,67.1,0.062,101.1,102.4,2022
Norfolk St.,MEAC,24,102.4,102.3,66.9,0.095,95.3,105.9,2022
Wright St.,Horz,21,106.4,107.2,68.4,-0.001,100.0,107.4,2022
Texas Southern,SWAC,18,98.1,99.4,67.7,0.006,98.5,105.3,2022
Houston,Amer,31,118.4,89.6,63.3,0.025,107.3,103.1,2023
UCLA,P12,29,114.9,87.2,66.3,-0.001,109.7,100.7,2023
Alabama,SEC,29,116.1,88.6,72.7,0.074,110.9,99.2,2023
Connecticut,BE,25,119.4,94.1,66.7,-0.061,109.1,100.6,2023
Tennessee,SEC,23,112.7,88.0,65.5,-0.071,109.5,100.7,2023
Texas,B12,26,116.6,92.0,69.1,0.02,111.0,98.9,2023
Purdue,B10,29,119.4,94.8,64.4,0.032,110.4,100.6,2023
Gonzaga,WCC,28,124.0,99.7,70.1,0.047,110.2,102.7,2023
Kansas,B12,27,114.6,91.5,69.3,0.106,111.7,97.5,2023
Arizona,P12,28,120.0,97.1,72.3,0.041,107.9,99.1,2023
Saint Mary's,WCC,26,113.5,91.6,61.7,0.004,110.2,103.8,2023
Marquette,BE,28,119.3,97.5,68.4,0.014,109.5,100.9,2023
Creighton,BE,21,114.6,94.0,68.0,-0.074,110.9,100.5,2023
San Diego St.,MWC,27,111.9,91.7,66.0,0.047,110.4,101.4,2023
Baylor,B12,22,121.9,101.9,66.6,0.032,110.8,97.9,2023
Xavier,BE,25,119.3,99.6,70.4,-0.004,110.3,100.5,2023
West Virginia,B12,19,117.1,98.0,68.9,-0.054,111.0,98.2,2023
Utah St.,MWC,26,117.8,98.9,68.8,0.008,108.8,101.1,2023
Memphis,Amer,26,114.7,96.0,71.8,-0.037,108.5,101.3,2023
Arkansas,SEC,20,112.6,94.0,69.7,-0.072,109.9,100.0,2023
Duke,ACC,26,113.2,94.8,65.3,0.059,109.8,103.0,2023
Maryland,B10,21,114.1,95.8,64.6,-0.039,109.3,101.3,2023
Iowa St.,B12,19,109.9,91.6,64.3,-0.034,112.4,99.5,2023
Kansas St.,B12,23,112.5,94.2,70.2,0.036,109.3,98.9,2023
Texas A&M;,SEC,25,114.5,96.2,66.2,0.042,108.8,100.9,2023
Florida Atlantic,CUSA,31,114.3,96.0,68.4,0.053,105.6,105.1,2023
TCU,B12,21,112.4,94.3,69.8,-0.034,109.8,99.1,2023
Kentucky,SEC,21,117.4,99.6,66.0,-0.014,109.4,100.7,2023
Auburn,SEC,20,112.7,95.2,67.6,-0.029,109.5,99.7,2023
Indiana,B10,22,114.7,97.3,68.1,0.022,110.7,100.1,2023
Boise St.,MWC,24,111.0,93.8,66.5,0.013,109.5,101.9,2023
Michigan St.,B10,19,113.4,96.7,64.9,0.015,112.3,100.0,2023
Illinois,B10,20,112.2,95.7,69.4,-0.045,109.1,100.6,2023
Virginia,ACC,25,111.2,94.8,61.6,0.045,108.5,102.9,2023
USC,P12,22,113.1,97.5,68.1,0.018,107.4,99.5,2023
Iowa,B10,19,120.5,104.9,69.5,-0.042,108.9,99.3,2023
Penn St.,B10,22,116.8,101.8,64.6,0.009,109.6,99.9,2023
Miami FL,ACC,25,118.2,103.3,68.9,0.017,108.0,103.2,2023
Northwestern,B10,21,108.5,93.7,64.9,0.033,109.5,100.8,2023
Providence,BE,21,116.8,102.1,66.9,-0.01,108.3,101.7,2023
Missouri,SEC,24,119.3,105.4,69.1,0.11,108.1,100.4,2023
N.C. State,ACC,23,113.9,100.6,69.1,0.03,108.6,103.8,2023
Oral Roberts,Sum,30,115.3,102.0,70.5,0.103,104.2,108.1,2023
VCU,A10,27,107.2,94.0,68.0,0.017,105.1,104.7,2023
Drake,MVC,27,109.8,97.3,66.4,0.026,104.0,105.7,2023
Arizona St.,P12,22,107.6,95.2,68.4,0.069,108.9,100.3,2023
Kent St.,MAC,28,108.3,96.4,68.1,0.019,106.3,107.7,2023
Charleston,CAA,31,111.4,99.6,71.0,0.052,102.3,108.0,2023
Iona,MAAC,27,110.9,99.1,68.9,-0.006,102.6,106.4,2023
Pittsburgh,ACC,22,115.1,103.8,67.3,0.03,108.1,104.4,2023
Furman,SC,27,114.2,105.8,68.5,0.0,104.0,108.4,2023
Louisiana,SB,26,112.2,104.0,68.4,0.077,104.2,104.5,2023
UC Santa Barbara,BW,27,111.3,104.7,65.0,0.057,102.8,105.2,2023
Grand Canyon,WAC,24,112.3,106.3,65.2,0.042,104.7,103.7,2023
Montana St.,BSky,25,105.4,99.6,66.5,0.082,106.3,107.4,2023
Princeton,Ivy,21,109.1,103.5,67.5,0.024,103.4,105.9,2023
Vermont,AE,23,109.8,104.4,64.6,0.051,103.4,107.0,2023
Colgate,Pat,26,113.0,107.7,67.9,0.004,100.7,108.4,2023
Kennesaw St.,ASun,26,106.3,102.7,68.5,0.147,105.1,106.7,2023
UNC Asheville,BSth,27,104.1,102.6,68.5,0.152,102.8,108.1,2023
Northern Kentucky,Horz,22,103.3,102.8,62.0,0.053,104.4,108.3,2023
Texas A&M; Corpus Chris,Slnd,23,107.4,107.6,69.3,0.019,101.2,110.2,2023
Howard,MEAC,22,103.7,106.9,69.0,0.096,101.4,107.5,2023
Fairleigh Dickinson,NEC,19,106.2,118.4,68.8,0.017,96.3,110.3,2023
Connecticut,BE,31,126.6,94.4,64.5,0.047,111.6,101.2,2024
Houston,B12,30,118.9,87.1,63.3,0.053,111.9,100.1,2024
Purdue,B10,29,125.0,95.9,67.4,0.045,114.0,100.3,2024
Auburn,SEC,27,120.6,91.7,69.8,-0.067,111.9,102.3,2024
Iowa St.,B12,27,113.9,87.1,67.3,0.012,111.0,100.6,2024
Arizona,P12,25,121.1,94.5,71.8,-0.043,111.9,101.1,2024
Tennessee,SEC,24,117.0,91.0,69.2,-0.03,114.3,101.7,2024
Duke,ACC,24,121.8,97.0,66.7,-0.077,110.6,102.0,2024
North Carolina,ACC,27,117.8,93.2,70.4,-0.024,112.4,101.2,2024
Illinois,B10,26,125.6,101.6,69.9,-0.032,111.6,100.5,2024
Creighton,BE,23,120.1,96.7,67.0,-0.013,112.1,101.0,2024
Marquette,BE,25,118.3,95.6,69.0,0.036,113.3,100.2,2024
Alabama,SEC,21,125.6,103.1,72.6,-0.028,114.5,100.8,2024
Baylor,B12,23,122.5,100.2,65.6,-0.004,112.8,98.7,2024
Gonzaga,WCC,25,121.0,99.4,69.1,-0.052,108.4,105.0,2024
BYU,B12,23,120.5,99.5,69.1,-0.034,110.5,100.8,2024
Wisconsin,B10,22,120.1,99.5,65.2,-0.031,113.3,99.3,2024
Michigan St.,B10,19,113.8,93.7,65.2,-0.104,114.1,101.8,2024
Kentucky,SEC,23,122.7,102.7,72.6,-0.027,111.3,102.2,2024
Saint Mary's,WCC,26,114.9,95.0,61.9,0.02,108.3,105.2,2024
San Diego St.,MWC,24,113.5,93.8,66.0,-0.032,112.7,101.7,2024
Kansas,B12,22,113.4,94.2,68.9,0.048,112.9,99.1,2024
New Mexico,MWC,26,115.4,96.5,72.7,-0.021,110.2,103.3,2024
Texas Tech,B12,23,117.9,99.4,66.6,0.04,111.3,100.8,2024
Colorado,P12,24,117.6,99.1,67.5,0.012,110.3,102.1,2024
Texas,B12,20,118.5,100.1,67.2,-0.034,111.2,100.7,2024
Nebraska,B10,23,115.9,97.7,68.6,0.014,110.8,101.7,2024
Florida,SEC,24,119.3,101.1,71.7,-0.007,112.3,101.5,2024
Mississippi St.,SEC,21,113.7,95.7,67.1,-0.044,112.6,101.4,2024
Dayton,A10,24,118.6,101.3,64.2,0.003,108.7,102.7,2024
TCU,B12,21,115.1,97.8,69.7,-0.049,110.6,100.8,2024
Clemson,ACC,21,117.4,100.5,66.1,-0.022,112.2,102.1,2024
Nevada,MWC,26,115.5,98.7,66.6,0.059,109.7,104.1,2024
Colorado St.,MWC,24,115.4,98.8,65.8,-0.025,112.1,103.0,2024
Florida Atlantic,Amer,25,119.0,102.7,68.1,-0.012,109.4,104.1,2024
Washington St.,P12,24,113.4,97.2,64.8,0.021,109.9,103.0,2024
Texas A&M;,SEC,20,116.0,99.9,65.8,-0.025,112.7,101.2,2024
Northwestern,B10,21,116.7,100.8,63.7,0.008,111.8,102.0,2024
Utah St.,MWC,27,115.6,100.5,68.5,0.1,109.4,103.3,2024
South Carolina,SEC,26,114.7,99.7,62.9,0.152,110.4,102.8,2024
Drake,MVC,28,115.6,100.9,67.8,0.065,107.8,105.2,2024
Grand Canyon,WAC,29,113.5,99.6,68.1,0.022,104.1,105.6,2024
Oregon,P12,23,114.0,100.6,67.2,0.049,110.9,101.8,2024
N.C. State,ACC,22,114.4,101.3,68.1,-0.0,110.9,101.5,2024
James Madison,SB,31,113.9,101.0,69.5,0.027,103.4,107.8,2024
McNeese St.,Slnd,30,114.0,101.2,65.6,0.016,102.3,109.0,2024
Samford,SC,29,113.1,103.3,72.5,0.129,104.3,107.0,2024
Yale,Ivy,22,110.8,101.4,64.5,0.001,108.3,106.2,2024
Duquesne,A10,24,106.9,97.5,66.3,0.049,109.1,104.2,2024
Charleston,CAA,27,113.7,106.1,69.8,0.05,105.4,107.6,2024
Vermont,AE,28,107.1,100.1,63.2,0.063,104.3,107.0,2024
UAB,Amer,23,113.7,107.4,67.8,0.116,108.8,104.4,2024
Morehead St.,OVC,26,109.0,103.5,64.2,0.044,103.1,108.9,2024
Akron,MAC,24,107.0,102.1,65.9,-0.002,105.4,107.3,2024
Western Kentucky,CUSA,22,105.6,102.5,75.1,-0.051,103.7,106.2,2024
South Dakota St.,Sum,22,108.7,105.7,67.9,-0.018,105.6,108.0,2024
Oakland,Horz,23,108.6,105.8,66.7,0.082,107.1,108.2,2024
Colgate,Pat,25,104.7,102.5,66.2,0.057,101.9,108.9,2024
Longwood,BSth,21,105.7,104.8,66.8,-0.047,104.5,108.5,2024
Long Beach St.,BW,21,107.9,107.9,71.2,0.047,104.9,105.5,2024
Saint Peter's,MAAC,19,98.6,100.9,64.0,0.021,102.7,107.0,2024
Stetson,ASun,22,110.3,114.4,66.2,0.137,105.3,108.6,2024
Grambling St.,SWAC,20,99.3,107.1,64.8,0.131,101.0,106.6,2024
Wagner,NEC,16,95.8,105.9,61.3,0.022,100.2,108.4,2024
